인근역,매물수,예약률(%),막힘률(%),점유율(%),공실률(%)
세종시청BRT역,1,100.0,0.0,100.0,0.0
둔산시청대전시청역,1,100.0,0.0,100.0,0.0
광화문시청서울역,1,100.0,0.0,100.0,0.0
코엑스삼성역,1,100.0,0.0,100.0,0.0
수원신청역,1,100.0,0.0,100.0,0.0
평택고덕지제역,1,100.0,0.0,100.0,0.0
공덕역서울역,1,100.0,0.0,100.0,0.0
수영역,1,100.0,0.0,100.0,0.0
여수KTX역,1,100.0,0.0,100.0,0.0
남천역,2,100.0,0.0,100.0,0.0
수서대청역,1,100.0,0.0,100.0,0.0
구파발초역,1,100.0,0.0,100.0,0.0
3가역,1,100.0,0.0,100.0,0.0
압구정역,1,100.0,0.0,100.0,0.0
석촌고분역,1,100.0,0.0,100.0,0.0
백운역,1,100.0,0.0,100.0,0.0
광주송정역,1,100.0,0.0,100.0,0.0
수내역초역,1,80.0,20.0,100.0,0.0
강남수서역,1,0.0,100.0,100.0,0.0
부산대병원역,1,0.0,100.0,100.0,0.0
금연산역,1,0.0,100.0,100.0,0.0
탕정역,1,0.0,100.0,100.0,0.0
덕계역,2,98.3,0.0,98.3,1.7
검단사거리역,4,24.2,73.3,97.5,2.5
압구정로데오역,4,85.0,11.7,96.7,3.3
중앙대병원광명역,1,96.7,0.0,96.7,3.3
신분당선호매실초역,1,96.7,0.0,96.7,3.3
원인재역,1,96.7,0.0,96.7,3.3
한티역,2,96.7,0.0,96.7,3.3
장유역,1,96.7,0.0,96.7,3.3
행정구역,1,96.7,0.0,96.7,3.3
지제역,2,48.3,48.3,96.7,3.3
낙성대초역,1,96.7,0.0,96.7,3.3
광교상현역,3,93.3,3.3,96.7,3.3
주요역,1,96.7,0.0,96.7,3.3
설대입구역,1,96.7,0.0,96.7,3.3
12평강남역,1,96.7,0.0,96.7,3.3
성수건대구의역,1,96.7,0.0,96.7,3.3
개화산역,2,48.3,48.3,96.7,3.3
김천구미역,1,96.7,0.0,96.7,3.3
재송역,3,35.6,61.1,96.7,3.3
탄방역,1,96.7,0.0,96.7,3.3
KTX오송역,1,96.7,0.0,96.7,3.3
소래포구역,2,96.7,0.0,96.7,3.3
서초강남양재판교청계산역,1,96.7,0.0,96.7,3.3
하남시청역,1,96.7,0.0,96.7,3.3
복층역,1,96.7,0.0,96.7,3.3
양수역,1,96.7,0.0,96.7,3.3
보라매병원역,1,96.7,0.0,96.7,3.3
범계역안양역,1,96.7,0.0,96.7,3.3
필마이역,1,96.7,0.0,96.7,3.3
반월역,1,96.7,0.0,96.7,3.3
특가강남역,1,96.7,0.0,96.7,3.3
건대구의역,1,96.7,0.0,96.7,3.3
덕소역,1,96.7,0.0,96.7,3.3
입구역,1,96.7,0.0,96.7,3.3
서울서초남부터미널역,1,96.7,0.0,96.7,3.3
상동역,1,96.7,0.0,96.7,3.3
약수역,1,96.7,0.0,96.7,3.3
아시아드경기장역,1,96.7,0.0,96.7,3.3
복정역,1,93.3,3.3,96.7,3.3
시흥시청역,1,93.3,3.3,96.7,3.3
ktx광명역,1,93.3,3.3,96.7,3.3
강남신논현역,1,80.0,16.7,96.7,3.3
2호선구로디지털역,1,70.0,26.7,96.7,3.3
