sido,sigungu,dong,adm_cd,corp_cnt,tot_worker,lat,lon
서울특별시,영등포구,여의동,11190540,17242,195020,37.528485,126.928477
서울특별시,금천구,가산동,11180510,25309,182115,37.476659,126.883893
서울특별시,강남구,역삼1동,11230640,21141,176721,37.500819,127.032104
경기도,안산시 단원구,초지동,31092660,13553,119041,37.310165,126.773862
서울특별시,중구,명동,11020550,8496,108481,37.563765,126.985513
서울특별시,종로구,종로1·2·3·4가동,11010610,17087,106815,37.575177,126.98984
서울특별시,송파구,문정2동,11240690,12916,99373,37.481221,127.119137
경기도,성남시 분당구,삼평동,31023740,5155,98990,37.402018,127.108217
서울특별시,구로구,구로3동,11170540,10615,95488,37.484879,126.896018
서울특별시,서초구,서초3동,11220530,11958,91869,37.485557,127.009419
서울특별시,강남구,삼성1동,11230580,7531,75476,37.515252,127.06079
서울특별시,강남구,대치2동,11230790,5924,73654,37.500974,127.065671
서울특별시,강서구,가양1동,11160751,10161,73155,37.571646,126.834712
서울특별시,강남구,논현2동,11230530,8616,72861,37.515239,127.036212
서울특별시,서초구,서초2동,11220520,8560,72379,37.488805,127.027926
인천광역시,남동구,논현고잔동,23050740,10044,68277,37.394324,126.702183
경기도,화성시,반월동,31240550,2762,66711,37.226819,127.060654
서울특별시,중구,소공동,11020520,5123,66312,37.564131,126.974403
서울특별시,성동구,성수2가3동,11040680,8309,64621,37.545546,127.058145
서울특별시,마포구,서교동,11140660,12653,63106,37.554877,126.921075
서울특별시,종로구,사직동,11010530,4970,56919,37.573874,126.970348
경기도,안양시 동안구,인덕원동,31042691,8639,56366,37.399169,126.971467
경기도,수원시 영통구,매탄3동,31014530,2484,55259,37.257202,127.050238
서울특별시,송파구,잠실6동,11240770,3160,54877,37.519779,127.09942
서울특별시,용산구,한강로동,11030730,6120,53433,37.529015,126.968617
인천광역시,중구,운서동,23010640,3767,52021,37.472735,126.460265
서울특별시,중구,회현동,11020540,8989,50194,37.556662,126.977184
서울특별시,서초구,양재2동,11220670,7684,49865,37.450956,127.04596
