시군구,동,매칭매물수,평균예약률%,평균점유율%,실질배수(중앙),단순배수(중앙),이득지수(예약기준),이득지수(점유기준),네이버실질월(중앙),삼삼월환산(중앙)
용인시 수지구,풍덕천동,9,56.4,65.1,4.17,4.5,2.35,2.71,500000,2129050
안양시 동안구,평촌동,6,52.2,53.9,2.45,2.83,1.28,1.32,725000,1770588
오산시,세교동,5,27.8,36.4,3.97,4.45,1.1,1.44,700000,2780800
화성시 동탄구,반송동,17,23.2,26.3,4.34,4.68,1.01,1.14,305000,1477300
광명시,일직동,5,31.7,32.5,3.02,3.28,0.96,0.98,743750,2433200
수원시 영통구,하동,6,26.4,32.2,3.52,4.45,0.93,1.13,790000,3063225
마포구,염리동,9,27.1,34.5,3.41,3.98,0.92,1.18,700000,2385405
수원시 영통구,영통동,9,28.4,29.4,3.12,3.27,0.89,0.92,445000,1412125
화성시 동탄구,오산동,11,29.0,34.9,3.02,3.99,0.88,1.05,762500,2389750
안양시 동안구,호계동,9,30.2,31.5,2.77,2.95,0.84,0.87,885000,2324575
남양주시,다산동,7,28.0,33.9,2.97,3.24,0.83,1.01,735000,1824900
화성시 효행구,봉담읍,5,31.2,41.6,2.67,2.78,0.83,1.11,390000,1042800
용산구,원효로1가,5,49.3,50.4,1.67,3.97,0.82,0.84,1010000,1607650
김포시,풍무동,12,24.2,32.9,3.25,3.48,0.79,1.07,595000,1781450
종로구,수송동,6,29.9,37.6,2.64,2.77,0.79,0.99,1050000,2769938
연수구,송도동,41,25.6,29.3,2.97,3.1,0.76,0.87,725000,2563550
수원시 영통구,이의동,46,27.6,37.9,2.73,3.54,0.75,1.03,625000,1738000
구로구,구로동,35,27.8,38.4,2.67,4.06,0.74,1.03,650000,1651100
종로구,내수동,45,24.7,26.8,3.01,5.65,0.74,0.81,750000,2259400
용인시 수지구,상현동,9,30.0,34.1,2.43,2.62,0.73,0.83,680000,1651100
연수구,연수동,8,29.4,29.7,2.47,2.58,0.73,0.73,322500,866828
성남시 분당구,정자동,21,27.1,37.4,2.61,2.78,0.71,0.98,900000,2302850
중구,북창동,22,19.5,29.6,3.65,4.56,0.71,1.08,1000000,4106025
금천구,가산동,63,23.7,34.7,2.93,3.3,0.7,1.02,575000,1651100
고양시 일산서구,대화동,7,19.9,19.9,3.48,3.69,0.69,0.69,515000,1868350
종로구,연건동,6,36.4,40.0,1.86,1.96,0.68,0.74,1050000,1955250
마포구,신공덕동,18,23.7,33.5,2.84,3.62,0.67,0.95,750000,2172500
영등포구,대림동,5,23.6,30.9,2.8,3.57,0.66,0.87,542500,1429505
동대문구,전농동,25,25.0,29.5,2.61,2.9,0.65,0.77,1000000,2389750
마포구,아현동,10,28.8,31.0,2.21,2.39,0.64,0.69,650000,1433850
강남구,수서동,6,27.3,40.7,2.3,4.25,0.63,0.94,970000,2237675
마포구,공덕동,41,24.5,31.4,2.55,3.33,0.62,0.8,780000,2042150
서대문구,북아현동,6,27.1,27.9,2.24,2.42,0.61,0.63,1247500,2411475
노원구,상계동,13,25.8,32.9,2.34,2.53,0.6,0.77,650000,1520750
마포구,도화동,55,20.0,24.9,2.9,4.01,0.58,0.72,750000,2172500
강북구,수유동,6,32.2,35.9,1.81,1.9,0.58,0.65,1115000,2107325
영등포구,영등포동7가,6,29.4,47.4,1.94,4.07,0.57,0.92,817500,1585925
화성시 동탄구,영천동,14,23.9,24.6,2.35,3.63,0.56,0.58,670000,1651100
영등포구,당산동5가,24,25.5,27.5,2.17,5.11,0.55,0.6,900000,1955250
성남시 분당구,삼평동,21,26.3,28.0,2.02,2.61,0.53,0.57,1100000,2107325
김포시,구래동,7,14.3,16.5,3.61,3.76,0.52,0.6,315000,1260050
용산구,한강로2가,40,27.0,31.3,1.94,2.53,0.52,0.61,1070000,2192052
서초구,방배동,7,24.3,46.5,2.16,4.87,0.52,1.01,1125000,2433200
동작구,신대방동,8,17.1,25.5,2.97,3.56,0.51,0.76,475000,1472955
관악구,신림동,22,19.5,23.4,2.63,3.25,0.51,0.62,545000,1344778
