삼삼ID,매물명,건물유형,방수,시도,시군구,동,인근역,동삼삼매물수,평수,삼삼주당_만원,삼삼월환산_만원,1달예약일,1달막힘일,1달실현수익_만원,네이버월세_만원,네이버관리비_만원,관리비표기여부,네이버월총_만원,네이버보증금_만원,매칭매물수,네이버월총÷삼삼주당,실현효율(1달실현÷네이버월총),현실효율(1달실현÷네이버월세),순수익_만원(1달실현−월세−관리비),건물네이버매물수,건물월세최저_만원,건물월세중간_만원,건물월세최고_만원,네이버건물,네이버링크,삼삼링크
81452,LUMA Stay,오피스텔,투룸,서울특별시,양천구,목동,,54,28,110.0,477.9,29,0,455.7,80.0,24.0,표기,104.0,1000.0,18,0.95,4.38,5.7,351.7,23,70,80,160,현대41타워,https://new.land.naver.com/offices?articleNo=2632406021,https://web.33m2.co.kr/guest/room/81452
71617,어반 포그민트 하우스,오피스텔,원룸,서울특별시,용산구,한강로3가,용산역,27,10,138.0,599.6,25,0,492.9,144.0,20.0,미표기(평당2만),164.0,1500.0,2,1.19,3.01,3.42,328.9,3,96,192,192,에피소드용산(민간임대),https://new.land.naver.com/offices?articleNo=2631374747,https://web.33m2.co.kr/guest/room/71617
100974,코엑스 삼성동 ,오피스텔,쓰리룸+,서울특별시,강남구,삼성동,삼성역,99,28,165.0,716.9,17,10,601.1,230,56.0,미표기(평당2만),286.0,2000,1,1.73,2.1,2.61,315.1,11,230,400,790,마젤란21아스테리움,https://new.land.naver.com/offices?articleNo=2632318130,https://web.33m2.co.kr/guest/room/100974
102717,💕마곡나루역/6인/신축,오피스텔,쓰리룸+,서울특별시,강서구,마곡동,마곡나루역,154,28,130.0,564.9,25,4,535.7,210,20.0,표기,230.0,2000,3,1.77,2.33,2.55,305.7,110,50,280.0,700,롯데캐슬르웨스트,https://new.land.naver.com/offices?articleNo=2627964909,https://web.33m2.co.kr/guest/room/102717
100020,⛵️부산역 북항 붕어방🛟,오피스텔,쓰리룸+,부산광역시,동구,초량동,부산역,99,27,97.0,421.5,29,0,401.9,100,15.5,표기,115.5,2000,33,1.19,3.48,4.02,286.4,242,80,160.0,1000,롯데캐슬드메르(생활숙박시설),https://new.land.naver.com/offices?articleNo=2632633286,https://web.33m2.co.kr/guest/room/100020
7982,교대역 투룸 복층,오피스텔,투룸,서울특별시,서초구,서초동,교대역,289,11,109.0,473.6,29,0,451.6,170,22.0,미표기(평당2만),192.0,2000,1,1.76,2.35,2.66,259.6,12,145,230.0,250,엘루크반포,https://new.land.naver.com/offices?articleNo=2632010236,https://web.33m2.co.kr/guest/room/7982
16965,강남교대 신축 투룸오피,오피스텔,투룸,서울특별시,서초구,서초동,교대역,289,12,115.0,499.7,16,12,438.1,170,24.0,미표기(평당2만),194.0,2000,1,1.69,2.26,2.58,244.1,12,145,230.0,250,엘루크반포,https://new.land.naver.com/offices?articleNo=2632010236,https://web.33m2.co.kr/guest/room/16965
33806,선유신축투룸홍대여의도💕,오피스텔,투룸,서울특별시,영등포구,양평동5가,선유도역,15,13,70.0,304.1,29,0,290.0,20,26.0,미표기(평당2만),46.0,26500,1,0.66,6.3,14.5,244.0,4,15,20.0,20,에듀시티에비앙,https://new.land.naver.com/offices?articleNo=2628590353,https://web.33m2.co.kr/guest/room/33806
110560,선유신축투룸홍대여의도💞,오피스텔,투룸,서울특별시,영등포구,양평동5가,선유도역,15,13,70.0,304.1,29,0,290.0,20,26.0,미표기(평당2만),46.0,26500,1,0.66,6.3,14.5,244.0,4,15,20.0,20,에듀시티에비앙,https://new.land.naver.com/offices?articleNo=2628590353,https://web.33m2.co.kr/guest/room/110560
94033,학암동 최고,오피스텔,투룸,경기도,하남시,학암동,,2,18,84.0,365.0,29,0,348.0,75.0,36.0,미표기(평당2만),111.0,1000.0,10,1.32,3.14,4.64,237.0,27,10,75,250,위례효성해링턴타워,https://new.land.naver.com/offices?articleNo=2632299357,https://web.33m2.co.kr/guest/room/94033
70490,9호선마곡여의도고급투룸,오피스텔,투룸,서울특별시,강서구,등촌동,증미역,42,15,64.0,278.1,30,0,274.3,15,30.0,미표기(평당2만),45.0,23000,1,0.7,6.1,18.29,229.3,3,10,10,15,라빌라스,https://new.land.naver.com/offices?articleNo=2632524169,https://web.33m2.co.kr/guest/room/70490
71656,프렌즈 포그민트 하우스,오피스텔,원룸,서울특별시,용산구,한강로3가,용산역,27,10,130.0,564.9,21,0,390.0,144.0,20.0,미표기(평당2만),164.0,1500.0,2,1.26,2.38,2.71,226.0,3,96,192,192,에피소드용산(민간임대),https://new.land.naver.com/offices?articleNo=2631374747,https://web.33m2.co.kr/guest/room/71656
