시도,시군구,매물수,예약률(%),막힘률(%),점유율(%),공실률(%)
부산광역시,북구,1,100.0,0.0,100.0,0.0
부산광역시,서구,1,96.7,0.0,96.7,3.3
경기도,양평군,1,96.7,0.0,96.7,3.3
충청남도,당진시,1,96.7,0.0,96.7,3.3
경상북도,포항시 북구,1,0.0,96.7,96.7,3.3
경기도,이천시,8,78.8,13.3,92.1,7.9
대구광역시,서구,1,90.0,0.0,90.0,10.0
경기도,성남시 중원구,4,65.0,22.5,87.5,12.5
경기도,화성시 효행구,4,63.3,24.2,87.5,12.5
충청남도,서산시,1,86.7,0.0,86.7,13.3
경기도,성남시 수정구,4,54.2,32.5,86.7,13.3
서울특별시,서대문구,31,67.5,18.7,86.2,13.8
강원도,춘천시,3,74.4,11.1,85.6,14.4
세종특별자치시,,19,69.5,15.8,85.3,14.7
대구광역시,달서구,4,85.0,0.0,85.0,15.0
경기도,용인시 수지구,45,72.7,11.4,84.1,15.9
경기도,성남시 분당구,156,68.3,15.7,84.0,16.0
경기도,수원시 장안구,1,83.3,0.0,83.3,16.7
서울특별시,서초구,128,64.7,17.6,82.3,17.7
경기도,화성시 병점구,11,79.1,3.0,82.1,17.9
서울특별시,강남구,222,65.3,16.2,81.5,18.5
서울특별시,양천구,28,68.1,13.5,81.5,18.5
경기도,수원시 영통구,59,66.6,14.6,81.2,18.8
충청북도,음성군,3,60.0,21.1,81.1,18.9
경기도,양주시,7,76.7,2.9,79.5,20.5
서울특별시,성동구,54,64.0,15.0,79.0,21.0
경기도,안양시 동안구,54,56.4,22.2,78.5,21.5
경기도,화성시 동탄구,97,67.5,10.5,78.0,22.0
서울특별시,금천구,50,59.7,17.2,76.9,23.1
서울특별시,광진구,42,60.6,16.2,76.7,23.3
경기도,안성시,3,44.4,32.2,76.7,23.3
경기도,안양시 만안구,5,76.0,0.7,76.7,23.3
경상북도,구미시,2,45.0,31.7,76.7,23.3
전라남도,광양시,1,40.0,36.7,76.7,23.3
경상북도,김천시,6,76.1,0.0,76.1,23.9
경상남도,진주시,5,75.3,0.0,75.3,24.7
경기도,평택시,36,55.5,19.5,75.0,25.0
서울특별시,송파구,108,59.9,14.9,74.8,25.2
서울특별시,은평구,33,63.5,11.2,74.7,25.3
경기도,하남시,38,63.8,10.4,74.2,25.8
서울특별시,마포구,192,57.2,16.6,73.7,26.3
인천광역시,서구,62,48.0,24.6,72.6,27.4
경기도,수원시 권선구,31,60.6,11.9,72.6,27.4
서울특별시,관악구,49,54.1,18.2,72.2,27.8
서울특별시,종로구,104,54.2,17.7,72.0,28.0
서울특별시,중랑구,17,44.3,27.6,72.0,28.0
충청남도,아산시,23,45.5,25.7,71.2,28.8
경기도,오산시,11,44.5,26.7,71.2,28.8
경기도,구리시,13,53.6,16.7,70.3,29.7
인천광역시,연수구,62,59.5,10.8,70.3,29.7
서울특별시,영등포구,134,50.9,19.1,70.0,30.0
광주광역시,북구,14,55.5,14.3,69.8,30.2
경기도,용인시 기흥구,26,48.5,21.2,69.6,30.4
대구광역시,수성구,17,56.7,12.5,69.2,30.8
충청북도,청주시 흥덕구,34,56.9,12.2,69.0,31.0
서울특별시,동대문구,50,51.3,17.1,68.4,31.6
서울특별시,구로구,48,53.6,14.7,68.3,31.7
대구광역시,북구,2,68.3,0.0,68.3,31.7
충청남도,천안시 서북구,37,59.1,9.1,68.2,31.8
경기도,여주시,3,4.4,63.3,67.8,32.2
서울특별시,용산구,68,53.7,14.0,67.7,32.3
인천광역시,미추홀구,11,53.0,14.2,67.3,32.7
서울특별시,중구,65,46.4,20.7,67.1,32.9
서울특별시,강동구,52,53.7,12.9,66.6,33.4
경기도,김포시,38,55.1,11.4,66.5,33.5
경기도,고양시 일산동구,54,48.6,18.0,66.5,33.5
경기도,남양주시,26,57.6,8.8,66.4,33.6
인천광역시,남동구,20,49.2,17.2,66.3,33.7
서울특별시,강서구,167,49.7,15.2,64.9,35.1
경기도,부천시 소사구,5,59.3,4.7,64.0,36.0
울산광역시,남구,15,41.1,22.7,63.8,36.2
서울특별시,성북구,5,51.3,12.0,63.3,36.7
부산광역시,사상구,5,44.0,19.3,63.3,36.7
